CUSID,DEPOSIT INCOME,LOAN INCOME,TOTAL_PRODUCT_COUNT,DEPOSIT_PRODUCT_COUNT,LOAN_PRODUCT_COUNT,DEPOSIT_BALANCE,COUNT_TRANSACTION_CURRENT,AMOUNT_TRANSACTION_CURRENT,MONTHS_REMAIN_MIN,MONTHS_REMAIN_MAX,COUNT_LOANTRANS_CURRENT,AMOUNT_LOANTRANS_CURRENT,AGE_MONTHS,TENURE_MONTHS,MONTHS_LAST_ACTIVE,CNT_LN_TOTFSI,LOAN_BALANCE,AGE_MONTHS,TENURE_MONTHS,LOAN_AMOUNT
917108,0,28.54,2,1,1,13.58,1,92,27,27,2,91.54,711,57,,,1677,711,57,3000
917109,0,0,1,1,0,0.4,,,,,,,804,97,8,,,804,97,
917110,0,0,1,0,1,,,,12,12,,,904,86,8,5,614.855,,86,614.8564064
917111,0,0,1,1,0,3,,,,,,,564,86,6,,,564,86,
917112,0,6.271521,1,0,1,,1,30.865721,4,4,1,6.271521,652,88,,,393.5072,,88,614.8564064
917113,0,6.640434,1,0,1,,1,31.234634,4,4,1,6.640434,665,88,,,418.1014,,88,614.8564064
917114,0,37.69,2,1,1,2.8591884,2,333.69,9,9,5,334.69,550,43,,,2654,550,43,8000
917115,0,0,1,1,0,74.028542,,,,,,,613,84,9,,,613,84,
917116,0,0,1,1,0,,,,,,,,481,87,8,,,481,87,
917117,0,6.640434,2,1,1,4.91884,1,31.234634,4,4,1,6.640434,689,88,,,418.1014,,88,614.8564064
917118,0,2.951304,1,0,1,,1,27.545504,4,4,1,2.951304,716,88,,,172.1594,,88,368.9138439
917119,0,0.5902608,1,0,1,,1,12.8873608,4,4,1,0.5902608,773,88,,,27.05362,,88,122.9712813
917120,0,66.82565,3,1,2,2.97,2,243.31115,18,29,2,243.31115,723,19,,3,4421.739,723,19,4775.655375
917121,0,80.4968166,3,1,2,,2,189.2031806,4,53,2,164.6089806,560,49,,3,4871.127252,,49,5656.678939
917122,0,6.640434,1,0,1,,1,31.234634,9,9,1,6.640434,664,88,,3,418.1014,,88,491.8851251
917123,0,45.144999,6,4,2,3362.54,4,491.079199,9,23,2,167.144999,730,89,,1,3323.0724,,89,5714.856406
917124,0,101.84,3,2,1,12.44,1,236,46,46,1,235.84,565,88,,,6124,565,88,8000
917125,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,772,76,,1,541.0724,,76,614.8564064
917126,0,6.640434,2,1,1,0.5164782,1,31.234634,9,9,1,6.640434,861,96,,1,418.1014,,96,491.8851251
917127,0,54.5499356,3,1,2,0.2213478,1,177.816066,24,30,2,177.7176892,733,41,,4,3278.013353,733,41,4426.966126
917128,0,3.68913,1,0,1,,1,3.68913,10,10,1,3.68913,786,83,,2,245.942,,83,245.9425626
917129,0,5.533695,1,0,1,,1,5.533695,10,10,1,5.533695,686,81,,1,368.913,,81,368.9138439
917130,0,8.116086,1,0,1,,1,8.116086,10,10,1,8.116086,681,81,,1,541.0724,,81,541.0736377
917131,0,9.222825,2,1,1,,1,9.222825,10,10,1,9.222825,727,76,,4,614.855,,76,614.8564064
917132,0,0,1,1,0,2.951304,,,,,,,576,87,5,,,576,87,
917133,0,57.19,2,1,1,10.65,2,248.19,12,24,4,248.19,419,24,,,3524,419,24,7100
917134,0,0,1,1,0,20.01902211,,,,,,,475,30,5,,,475,30,
917135,0,6.640434,1,0,1,,1,31.234634,3,3,1,6.640434,449,34,,,418.1014,,34,614.8564064
917136,0,11.313332,3,1,2,,2,62.71521,5,11,2,38.12101,687,26,,4,538.858922,,26,860.798969
917137,0,0,1,1,0,0.95,,,,,,,762,81,10,,,762,81,
917138,0,0,1,0,1,,,,12,12,,,675,81,,5,491.884,,81,491.8851251
917139,0,2.4348258,1,0,1,,1,2.4348258,3,3,1,2.4348258,622,81,,,161.09201,,81,245.9425626
917140,0,0,1,1,0,2.951304,,,,,,,624,90,9,,,624,90,
917141,0.983768,0,1,1,0,7.993115,1,0.983768,,,,,770,93,,,,770,93,
917142,0,0,1,1,0,,,,,,,,704,81,9,,,704,81,
917143,0.983768,0,1,1,0,876.3405344,19,662.567748,,,,,939,97,,,,480,97,
917144,0,14.68,2,1,1,5.75,1,99.01,11,11,1,98.68,706,37,,,908,706,37,2000
917145,0,102.1931568,4,2,2,80.701371,3,1046.492488,6,19,5,1046.452488,587,82,,2,7398.504435,,82,19426.96613
917146,0,0,1,1,0,0.06,,,,,,,743,90,7,,,743,90,
917147,0,35.3664596,2,1,1,0.6640434,1,96.8519596,44,44,1,96.8519596,589,90,,,2696.139175,,90,6886.391752
917148,0,9.222825,2,0,2,,1,9.222825,6,6,1,9.222825,478,90,,2,614.855,,90,614.8564064
